year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,pig_iron,direct_reduced,iron_and_steel_scrap,iron_and_steel_slag,iron_ore,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,total_forestry,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,hma,wma,rap,asphalt_binder,flat_glass
1900,0.378767123,,,,,,,,,,,,,,,,,,,,,,,,,
1901,0.383647799,,,,,,,,,,,,,,,,,,,,,,,,,
1902,0.397727273,,,,,,,,,,,,,,,,,,,,,,,,,
1903,0.389534884,,,,,,,,,,,,,,,,,,,,,,,,,
1904,0.378918919,,,,,,,,,,,,,,,,,,,,,,,,,
1905,0.394174757,,,,,,,,,,,,,,,,,,,,,,,,,
1906,0.408583691,,,,,,,,,,,,,,,,,,,,,,,,,
1907,0.384615385,,,,,,,,,,,,,,,,,,,,,,,,,
1908,0.39375,,,,,,,,,,,,,,,,,,,,,,,,,
1909,0.429133858,,,,,,,,,,,,,,,,,,,,,,,,,
1910,0.452898551,,,,,,,,,,,,,,,,,,,,,,,,,
1911,0.458646617,,,,,,,,,,,,,,,,,,,,,,,,,
1912,0.439716312,,,,,,,,,,,,,,,,,,,,,,,,,
1913,0.471571906,,,,,,,,,,,,,,,,,,,,,,,,,
1914,0.471014493,,,,,,,,,,,,,,,,,,,,,,,,,
1915,0.46953405,,,,,,,,,,,,,,,,,,,,,,,,,
1916,0.444444444,,,,,,,,,,,,,,,,,,,,,,,,,
1917,0.408602151,,,,,,,,,,,,,,,,,,,,,,,,,
1918,0.379268293,,,,,,,,,,,,,,,,,,,,,,,,,
1919,0.398367347,,,,,,,,,,,,,,,,,,,,,,,,,
1920,0.410714286,,,,,,,,,,,,,,,,,,,,,,,,,
1921,0.452173913,,,,,,,,,,,,,,,,,,,,,,,,,
1922,0.438596491,,,,,,,,,,,,,,,,,,,,,,,,,
1923,0.479224377,,,,,,,,,,,,,,,,,,,,,,,,,
1924,0.514588859,,,,,,,,,,,,,,,,,,,,,,,,,
1925,0.520681265,,,,,,,,,,,,,,,,,,,,,,,,,
1926,0.537037037,,,,,,,,,,,,,,,,,,,,,,,,,
1927,0.567928731,,,,,,,,,,,,,,,,,,,,,,,,,
1928,0.554565702,,,,,,,,,,,,,,,,,,,,,,,,,
1929,0.574338086,,,,,,,,,,,,,,,,,,,,,,,,,
1930,0.594405594,,,,,,,,,,,,,,,,,,,,,,,,,
1931,0.584848485,,,,,,,,,,,,,,,,,,,,,,,,,
1932,0.600806452,,,,,,,,,,,,,,,,,,,,,,,,,
1933,0.567460317,,,,,,,,,,,,,,,,,,,,,,,,,
1934,0.589473684,,,,,,,,,,,,,,,,,,,,,,,,,
1935,0.548172757,,,,,,,,,,,,,,,,,,,,,,,,,
1936,0.592857143,,,,,,,,,,,,,,,,,,,,,,,,,
1937,0.583333333,,,,,,,,,,,,,,,,,,,,,,,,,
1938,0.623441397,,,,,,,,,,,,,,,,,,,,,,,,,
1939,0.620408163,,,,,,,,,,,,,,,,,,,,,,,,,
1940,0.612284069,,,,,,,,,,,,,,,,,,,,,,,,,
1941,0.600315956,,,,,,,,,,,,,,,,,,,,,,,,,
1942,0.612804878,,,,,,,,,,,,,,,,,,,,,,,,,
1943,0.560344828,,,,,,,,,,,,,,,,,,,,,,,,,
1944,0.53219697,,,,,,,,,,,,,,,,,,,,,,,,,
1945,0.534482759,,,,,,,,,,,,,,,,,,,,,,,,,
1946,0.571197411,,,,,,,,,,,,,,,,,,,,,,,,,
1947,0.562857143,,,,,,,,,,,,,,,,,,,,,,,,,
1948,0.551071879,,,,,,,,,,,,,,,,,,,,,,,,,
1949,0.576315789,,,,,,,,,,,,,,,,,,,,,,,,,
1950,0.566101695,,,,,,,,,,,,,,,,,,,,,,,,,
1951,0.577523413,,,,,,,,,,,,,,,,,,,,,,,,,
1952,0.606673407,,,,,,,,,,,,,,,,,,,,,,,,,
1953,0.593137255,,,,,,,,,,,,,,,,,,,,,,,,,
1954,0.6775,,,,,,,,,,,,,,,,,,,,,,,,,
1955,0.662406015,,,,,,,,,,,,,,,,,,,,,,,,,
1956,0.668085106,,,,,,,,,,,,,,,,,,,,,,,,,
1957,0.692198582,,,,,,,,,,,,,,,,,,,,,,,,,
1958,0.72027972,,,,,,,,,,,,,,,,,,,,,,,,,
1959,0.705128205,,,,,,,,,,,,,,,,,,,,,,,,,
1960,0.713375796,,,,,,,,,,,,,,,,,,,,,,,,,
1961,0.709677419,,,,,,,,,,,,,,,,,,,,,,,,,
1962,0.708074534,,,,,,,,,,,,,,,,,,,,,,,,,
1963,0.717514124,,,,,,,,,,,,,,,,,,,,,,,,,
1964,0.712765957,,,,,,,,,,,,,,,,,,,,,,,,,
1965,0.713567839,,,,,,,,,,,,,,,,,,,,,,,,,
1966,0.714975845,,,,,,,,,,,,,,,,,,,,,,,,,
1967,0.711442786,,,,,,,,,,,,,,,,,,,,,,,,,
1968,0.701923077,,,,,,,,,,,,,,,,,,,,,,,,,
1969,0.710280374,,,,,,,,,,,,,,,,,,,,,,,,,
1970,0.711627907,,,,,,,,,,,,,,,,,,,,,,,,,
1971,0.702325581,,,,,,,,,,,,,,,,,,,,,,,,,
1972,0.693693694,,,,,,,,,,,,,,,,,,,,,,,,,
1973,0.703252033,,,,,,,,,,,,,,,,,,,,,,,,,
1974,0.696202532,,,,,,,,,,,,,,,,,,,,,,,,,
1975,0.696078431,1,1,1,0,,,,,,,0.247175141,0.32,0.07,1,1,,,1,1,1,1,1,1,1,1
1976,0.688073394,1,1,1,0,,,,,,,0.242950108,0.32,0.06,1,1,,,1,1,1,1,1,1,1,1
1977,0.694323144,1,1,1,0,,,,,,,0.238955823,0.32,0.07,1,1,,,1,1,1,1,1,1,1,1
1978,0.697580645,1,1,1,0,,,,,,,0.233576642,0.33,0.06,1,1,,,1,1,1,1,1,1,1,1
1979,0.7,1,1,1,0,0.35,0.118,0.118,,,,0.224719101,0.32,0.06,1,1,,,1,1,1,1,1,1,1,1
1980,0.681818182,1,1,1,0,0.35,0.123,0.123,,,,0.220043573,0.32,0.06,1,1,,,1,1,1,1,1,1,1,1
1981,0.661691542,1,1,1,0,0.35,0.111,0.111,,,,0.210822511,0.32,0.06,1,1,,,1,1,1,1,1,1,1,1
1982,0.662921348,1,1,1,0,0.35,0.113,0.113,,,,0.21369863,0.34,0.08,1,1,,,1,1,1,1,1,1,1,1
1983,0.67357513,1,1,1,0,0.35,0.12,0.12,,,,0.222664016,0.37,0.08,1,1,,,1,1,1,1,1,1,1,1
1984,0.675799087,1,1,1,0,0.35,0.103,0.103,,,,0.208015267,0.37,0.09,1,1,,,1,1,1,1,1,1,1,1
1985,0.684444444,1,1,1,0,0.35,0.118,0.118,,,,0.214971209,0.4,0.09,1,1,,,1,1,1,1,1,1,1,1
1986,0.696581197,1,1,1,0,0.35,0.119,0.119,,,,0.219844358,0.41,0.1,1,1,,,1,1,1,1,1,1,1,1
1987,0.708661417,1,1,1,0,0.35,0.117,0.117,,,,0.212065814,0.43,0.08,1,1,,,1,1,1,1,1,1,1,1
1988,0.716475096,1,1,1,0,0.35,0.12,0.12,,,,0.191806331,0.41,0.09,1,1,,,1,1,1,1,1,1,1,1
1989,0.70703125,1,1,1,0,0.35,0.121,0.121,,,,0.191330645,0.41,0.08,1,1,,,1,1,1,1,1,1,1,1
1990,0.707692308,1,1,1,0,0.35,0.127,0.127,,,,0.182129278,0.4,0.08,1,1,,,1,1,1,1,1,1,1,1
1991,0.692307692,1,1,1,0,0.35,0.134,0.134,,,,0.16468254,0.42,0.07,1,1,,,1,1,1,1,1,1,1,1
1992,0.704724409,1,1,1,0,0.35,0.132,0.132,,,,0.168181818,0.41,0.08,1,1,,,1,1,1,1,1,1,1,1
1993,0.715909091,1,1,1,0,0.35,0.135,0.135,,,,0.169440242,0.41,0.09,1,1,,,1,1,1,1,1,1,1,1
1994,0.713780919,1,1,1,0,0.35,0.126,0.126,,,,0.171511628,0.41,0.08,1,1,,,1,1,1,1,1,1,1,1
1995,0.713793103,1,1,1,0,0.35,0.132,0.132,,,,0.146984127,0.41,0.08,1,1,,,1,1,1,1,1,1,1,1
1996,0.716666667,1,1,1,0,0.35,0.131,0.131,,,,0.158850227,0.41,0.08,1,1,,,1,1,1,1,1,1,1,1
1997,0.722929936,1,1,1,0,0.35,0.126,0.126,,,,0.148809524,0.42,0.08,1,1,,,1,1,1,1,1,1,1,1
1998,0.735905045,1,1,1,0,0.35,0.118,0.118,,,,0.150916784,0.42,0.1,1,1,,,1,1,1,1,1,1,1,1
1999,0.735465116,1,1,1,0,0.35,0.144,0.144,,,,0.149292149,0.43,0.11,1,1,,,1,1,1,1,1,1,1,1
2000,0.739884393,1,1,1,0,0.35,0.153,0.153,,,,0.147410359,0.42,0.11,1,1,,,1,1,1,1,1,1,1,1
2001,0.755043228,1,1,1,0,0.35,0.182,0.182,,,,0.160513644,0.46,0.13,1,1,,,1,1,1,1,1,1,1,1
2002,0.747058824,1,1,1,0,0.35,0.174,0.174,,,,0.161392405,0.48,0.12,1,1,,,1,1,1,1,1,1,1,1
2003,0.748554913,1,1,1,0,0.35,0.202,0.202,,,,0.160032626,0.48,0.13,1,1,,,1,1,1,1,1,1,1,1
2004,0.74796748,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2005,0.755263158,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2006,0.767263427,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2007,0.758807588,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2008,0.748466258,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2009,0.741444867,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2010,0.727272727,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2011,0.719101124,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2012,0.718518519,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2013,0.712230216,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2014,0.697594502,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2015,0.717105263,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2016,0.726973684,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2017,0.714285714,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2018,0.716981132,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2019,0.729483283,,,,,0.35,,,,,,,,,,,,,,,,,,,,
2020,0.745283019,,,,,0.35,,,,,,,,,,,,,,,,,,,,
