year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,pig_iron,direct_reduced,iron_and_steel_scrap,iron_and_steel_slag,iron_ore,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,total_forestry,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,hma,wma,rap,asphalt_binder,flat_glass
1900,146000000,2039732.048,367573.731,121287.669,546006.5517,9490000,13000000,28416.5717940466,14568264.2487047,3608080.16805282,28900000,2300,166000,1709459.07799821,347695.604874119,38400000,60300000,36700000,10000,564.832447640667,5269292.33303271,5022294.25492181,246998.078110908,823326.927036362,345985.744292265,289712.847895255
1901,159000000,2189132.834,394496.7793,130171.4207,585998.9655,12300000,15900000,35459.5969745107,18217915.5041849,4522949.49841379,29700000,2600,194000,1850251.26027272,381862.731913144,43400000,62800000,39000000,10000,598.464616546808,5953253.88624127,5674195.11032371,279058.77591756,930195.919725199,390903.388076049,313658.119639424
1902,176000000,2936999.203,529267.4379,174641.4621,786191.8966,13900000,18400000,40695.7691441126,20889697.0904743,5181100.06001886,36400000,2620,264000,2230193.53441325,452000,49000000,65600000,41200000,30000,655.876935465977,6725444.08216627,6410188.89081473,315255.191351544,1050850.63783848,441591.622908374,376713.53003284
1903,172000000,3474364.376,626104.3345,206594.5655,930036.7241,13200000,18600000,40273.5872321829,20625747.3096851,5102335.5911858,34700000,3010,241000,2393632.84441951,747000,44100000,67100000,43500000,40000,681.774682528107,6118583.14329691,5831774.55845487,286808.584842043,956028.616140143,401493.861194988,402859.872247197
1904,185000000,3526641.383,635525.0103,209703.0897,944030.5172,12000000,16500000,36021.4766419778,18464527.700279,4572344.1653091,30700000,3670,249000,2500000,5280000,49800000,69000000,44800000,60000,727.209550771195,7765979.38728741,7401949.10350831,364030.283779097,1213434.27926366,506351.16597732,421225.126024575
1905,206000000,4478109.445,806986.0931,266279.8069,1198724.655,16800000,23000000,50285.6310929895,25780390.5938621,6385113.60713367,44100000,4900,266000,2700000,16400000,56200000,70600000,45300000,100000,793.43702357401,10779979.2270594,10274667.700791,505311.526268409,1684371.75422803,696077.241621723,500704.700290276
1906,233000000,5927535.9,1068182.7,352466.4,1586715,19600000,25300000,56451.8811198701,29004583.4994022,7201386.43573695,49500000,6410,323000,2900000,24400000,63500000,75800000,47900000,170000,919.943031449881,13313516.6521615,12689445.5590914,624071.093070071,2080236.97690024,856567.659073854,615883.363400411
1907,234000000,6032355.279,1087071.872,358699.2276,1614773.621,19900000,25200000,56612.1824813001,29107712.2359506,7232832.89033696,53100000,7410,322000,2800000,32100000,69800000,80800000,47900000,180000,947.908069962864,15653659.1866223,14919893.9122494,733765.274372922,2445884.24790974,1004574.64507864,623087.190975773
1908,208000000,6009334.821,1082923.428,357330.3724,1608611.379,11800000,15900000,34951.7010291617,17929453.9657234,4443591.70024865,32900000,4840,296000,2500000,30000000,63500000,74200000,43700000,190000,887.621282552789,14394726.024133,13719973.2417518,674752.782381235,2249175.94127078,923421.989566877,591041.001844998
1909,254000000,7517805.103,1354760.138,447027.8621,2012406.897,19600000,23500000,53852.0294158407,27745516.1418892,6910358.39835377,52600000,13200,458000,3200000,49000000,74400000,78800000,46300000,220000,988.065761901378,19539770.2287506,18623843.4992779,915926.729472684,3053089.09824228,1247280.43138852,732063.752653828
1910,276000000,8619072,1553216,512512,2307200,21600000,24300000,57039.1028434718,29458947.7879633,7357135.38540684,55800000,16100,511000,3200000,56900000,84400000,78800000,46200000,250000,1035.97002980565,22419777.335639,21368850.2730309,1050927.06260808,3503090.20869359,1430612.28504337,821331.34319925
1911,266000000,8734506,1574018,519376,2338100,19000000,21100000,49776.0853427161,25720605.8190514,6427091.65737803,43400000,19300,499000,3100000,53700000,84400000,75900000,44500000,220000,977.178754096562,21801943.4087981,20779977.3115107,1021966.09728741,3406553.6576247,1392409.81047592,816146.561427348
1912,282000000,9037686.103,1628653.138,537403.8621,2419256.897,24700000,27300000,64521.1438780177,33345854.9222798,8334200.46300266,57800000,29300,587000,3300000,53800000,87100000,77700000,46500000,220000,1009.09616341123,22187027.7110119,21147010.7870582,1040016.92395368,3466723.07984561,1417638.9013391,852471.892741355
1913,299000000,10281586.97,1852812.621,611369.3793,2752231.034,24800000,27500000,64911.5954786463,33543443.6030291,8382408.47123382,62800000,32000,588000,3200000,65100000,94300000,76200000,45400000,220000,1011.51218466287,25344159.0771686,24156151.6204264,1188007.45674228,3960024.8558076,1616635.42574325,944025.796907221
1914,276000000,9933958.138,1790167.517,590698.4828,2659175.862,17300000,20200000,46749.3132765149,24110302.9095257,6011761.12492498,42800000,33700,439000,3000000,65500000,82500000,72400000,41700000,230000,966.41094394519,23822807.3900238,22706113.2936164,1116694.09640736,3722313.65469121,1516367.73147574,896875.02930649
1915,279000000,9608885.379,1731587.172,571368.8276,2572158.621,21600000,27500000,61661.061428413,31697289.7568753,7874518.56297693,56600000,44900,675000,3300000,61800000,87100000,69300000,37600000,230000,933.135482930003,23731612.528114,22619193.1908587,1112419.33725534,3708064.45751781,1513145.08775771,881743.770690126
1916,297000000,10248416.28,1846835.034,609396.9655,2743351.724,27600000,35100000,78732.9644118357,40474890.3945795,10055597.1876876,78200000,55200,847000,3700000,71800000,79300000,73000000,40700000,250000,1000,24605654.4614917,23452264.4086093,1153390.05288242,3844633.50960808,1563092.61501912,939756.698968167
1917,279000000,10375128.31,1869669.414,616931.5862,2777270.69,28100000,34500000,78374.2431225082,40343662.8138701,10037945.6400583,86400000,54400,818000,3400000,60400000,72600000,69200000,36000000,250000,3000,21496952.2651211,20489282.6276936,1007669.63742755,3358898.79142518,1367353.23801307,925766.453558622
1918,246000000,7909882.655,1425415.207,470341.7931,2117360.345,26700000,34500000,76952.1344755311,39535970.5061778,9815743.80519592,72800000,46400,905000,2900000,47500000,60600000,65200000,32300000,260000,4000,17380633.7275439,16565916.5215653,814717.205978622,2715724.01992874,1106526.1189333,745136.228655516
1919,245000000,9003852,1622556,535392,2410200,21600000,27100000,61083.3166052953,31417497.0107613,7809845.66578067,56800000,62300,572000,3000000,56900000,57300000,67400000,35200000,290000,6000,18748460.119639,17869626.0515309,878834.068108076,2929446.89369359,1189369.45476822,806805.983710284
1920,280000000,11108200.55,2001774.069,660521.931,2973503.448,28300000,32400000,75544.2411792801,38990135.5121562,9730156.04904399,70500000,76200,642000,3300000,65900000,69000000,67200000,35800000,260000,7000,22071151.6708789,21036566.4363064,1034585.23457245,3448617.44857482,1400966.72313193,969065.069538666
1921,230000000,11124785.9,2004762.862,661508.1379,2977943.103,12900000,14500000,34046.9652280177,17584794.7389398,4391823.71602504,27300000,38500,397000,2300000,68100000,55400000,58200000,29300000,250000,9000,20653480.239582,19685348.3533515,968131.886230404,3227106.28743468,1306164.41178664,910934.089958526
1922,285000000,13000920.1,2342855.138,773067.8621,3480156.897,25000000,25400000,62081.5935354183,32189916.3013153,8074618.8802195,51800000,51200,615000,3300000,78300000,70000000,64100000,35300000,300000,10000,24600731.0973872,23447571.8271972,1153159.27019002,3843864.23396675,1557903.26153741,1083715.19854132
1923,361000000,15783277.55,2844255.069,938513.931,4224953.448,32000000,35100000,83202.4487309065,43013351.9330411,10753945.8115408,63500000,75100,854000,3700000,117000000,83700000,70100000,41300000,380000,10000,33928639.7021188,32338234.7160819,1590404.98603682,5301349.95345606,2141871.14589348,1333376.44728147
1924,377000000,17189051.38,3097585.172,1022104.828,4601258.621,26700000,28400000,68141.5259229871,35269131.1279394,8829482.12295293,55100000,79800,889000,3700000,133000000,90300000,67200000,40100000,380000,10000,37911930.872323,36134809.1126829,1777121.75964014,5923739.19880048,2391636.38514456,1433048.70424107
1925,411000000,18786551.79,3385465.724,1117096.276,5028886.207,32100000,33800000,81426.357244844,42161717.8158629,10559630.4552859,66300000,76900,924000,4200000,146000000,101000000,66300000,41300000,450000,40000,41871441.872114,39908718.0343587,1962723.83775534,6542412.79251781,2642084.79726092,1565006.34692924
1926,432000000,19110961.14,3443926.517,1136386.483,5115725.862,33800000,35000000,84886.4379283834,43981865.2849741,11023465.6606362,72000000,93900,1040000,4100000,156000000,109000000,65100000,40200000,490000,60000,44885956.5734917,42781927.3591093,2104029.21438242,7013430.71460808,2832683.12593736,1608459.73980848
1927,449000000,19597243.45,3531557.931,1165302.069,5245896.552,31300000,31700000,77580.563410918,40231267.437226,10093125.2679414,62100000,94800,985000,4000000,169000000,120000000,61300000,37700000,580000,60000,48886109.4612827,46594573.080285,2291536.38099762,7638454.60332542,3085802.12289071,1656486.45420103
1928,449000000,20055662.38,3614168.172,1192560.828,5368608.621,35800000,34800000,86629.1492982204,44995815.0657632,11308560.4046986,65800000,105000,1100000,4000000,180000000,103000000,59500000,37000000,590000,70000,48706873.2647981,46423738.5805107,2283134.68428741,7610448.9476247,3065789.98845329,1682823.83410999
1929,491000000,19373009.59,3491149.448,1151968.552,5185872.414,39000000,37800000,94212.769521836,48940414.507772,12301497.0419275,78200000,117000,1210000,3900000,191000000,124000000,61700000,39400000,730000,120000,53675609.5483135,51159565.3507363,2516044.1975772,8386813.99192399,3384051.93336846,1693234.06142554
1930,429000000,18062767.34,3255034.793,1074058.207,4835139.655,28400000,27200000,68135.1376678206,35410522.1203667,8905279.94512561,58100000,108000,918000,3100000,173000000,112000000,49500000,30000000,580000,100000,48574618.1898337,46297682.9621853,2276935.22764846,7589784.09216152,3062339.62044683,1544693.20273246
1931,330000000,14425932.93,2599652.241,857802.7586,3861612.069,18700000,16300000,42538.409898095,22190015.9426066,5603402.21212381,30400000,85600,673000,2500000,134000000,83100000,36200000,20400000,460000,90000,37129598.6624608,35389148.725158,1740449.93730285,5801499.7910095,2339480.62235903,1218761.42097683
1932,248000000,9108007.966,1641325.621,541585.3793,2438081.034,10400000,7950000,22046.9140227215,11560880.8290155,2936016.03361056,6350000,48700,412000,1800000,105000000,59600000,27500000,13700000,490000,50000,28346864.1404656,27018104.8838812,1328759.25658432,4429197.52194774,1784074.88436037,816335.050526304
1933,252000000,7204673.793,1298331.724,428408.2759,1928586.207,16400000,13100000,35580.1299645486,18624750.8967716,4720973.16299408,25200000,42900,550000,2000000,93100000,62700000,31200000,17400000,540000,50000,26469260.4010261,25228513.819728,1240746.5812981,4135821.93766033,1669605.4753783,711710.176683971
1934,285000000,8542779.414,1539467.552,507975.4483,2286777.586,18300000,14300000,39243.3690262276,20560282.9812674,5216551.48761039,26600000,38300,407000,2200000,100000000,82800000,32900000,19400000,570000,60000,30524471.3017767,29093636.7095059,1430834.59227078,4769448.64090261,1930908.74524296,827583.225686726
1935,301000000,8455208.793,1523686.724,502768.2759,2263336.207,23400000,19300000,51645.7179577575,27000000,6834412.24384807,34400000,62000,746000,2700000,106000000,74300000,38000000,23400000,640000,70000,30531389.7546033,29100230.8598563,1431158.89474703,4770529.64915677,1926871.81467541,841458.894488561
