year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass
2020,2221496045.0997005,65098922.808019154,11731318.642019523,3870956.015569267,0.0,30565340.990726773,596963.3096481576,865267.290069901,2023490.4778301725,869194295.9290897,1470481994.2227838,6072280.694845676,8930378.947628101,334118608.0142326,17693414.169673905,7459173.747707343
2021,2248059498.981932,65462819.81345736,11796899.25959595,3892595.1461605914,0.0,30801192.143824447,607151.1028421844,874342.8759436054,2027964.01290791,878770220.6820185,1490417001.6059518,6151718.931328058,9037441.524873974,338169581.45957327,17966359.598752707,7523138.931414256
2022,2274951833.5824623,65828750.9697671,11862846.487059372,3914355.242211309,0.0,31038863.19372727,617512.7612109828,883513.6535111322,2032447.4380821495,888451643.521279,1510622263.586543,6231117.871129751,9145787.63056962,342269670.3551201,18243515.589260854,7587652.640315117
2023,2302177213.184393,66196727.64766513,11929162.373838663,3936236.9799335487,0.0,31278368.183293805,628051.2519426836,892780.6212158548,2036940.7752179247,898239726.7206502,1531101443.947867,6310477.553110361,9255432.652400669,346419470.194148,18524947.09494229,7652719.578217076
2024,2329739855.4889107,66566761.28142943,11995848.98081937,3958241.039319542,0.0,31519721.263741408,638769.5928635232,902144.7879735846,2041444.0462286123,908135645.3586932,1551858256.1423695,6389798.016071796,9366392.16252924,350619583.6899091,18810720.071542744,7718344.489264174
2025,2357644032.3073077,66938863.36925457,12062908.38040791,3980368.104162759,0.0,31762936.695482355,649670.8533020659,911607.1732824153,2045957.2730760346,918140587.4598248,1572896463.9649546,6469079.298758268,9478681.919805696,354870620.8631613,19100901.492266424,7784532.158283249
2026,2385894070.262087,67313045.47360907,12130342.656595897,4002618.862079173,0.0,32008028.848966602,660758.1549681085,921168.8073337164,2050480.4777705641,928255754.136942,1594219882.235488,6548321.439857483,9592317.872006558,359173199.13077766,19395559.36347229,7851287.411132774
2027,2414494351.4971952,67689319.22159424,12198153.905024853,4024994.004528592,0.0,32255012.205530588,672034.6728466516,930830.7311242941,2055013.6823712413,938482359.7356212,1615832377.490525,6627524.477998495,9707316.158099608,363527943.39540976,19694762.74061134,7918615.11505484
2028,2443449314.3975377,68067696.30530621,12266344.233051443,4047494.226836194,0.0,32503901.358253006,683503.6361070826,940593.9965697253,2059556.9089858683,948821631.9798898,1637737868.6844192,6706688.451754093,9823693.110535951,367935486.13625264,19998581.74441079,7986520.179029855
2029,2472763454.3179264,68448188.48219867,12334915.759812912,4070120.2282141056,0.0,32754711.01281707,695168.3290278726,950459.666618884,2064110.1797711249,959274812.1196368,1659940327.8999596,6785813.399640083,9941465.257569628,372396467.5009092,20307087.577307235,8055007.554134588
2030,2502441324.321489,68830807.57544845,12403870.616292944,4092872.7117831376,0.0,33007455.988379292,707032.0919371045,960428.8153696652,2068673.516932675,969843155.079614,1682443781.0685885,6864899.360114574,10060649.32560496,376911535.3983566,20620352.54013329,8124082.233903128
2031,2532487535.927785,69215565.47432283,12473210.945387827,4115752.3845946393,0.0,33262151.21844532,719098.3221689771,970502.528185925,2073246.9427252726,980527929.6100948,1705252308.7004375,6943946.3715798855,10181262.24157224,381481345.593052,20938450.049062397,8193749.254690974
2032,2562906759.870665,69602474.13454911,12542938.90197317,4138759.957652446,0.0,33518811.751751967,731370.4750367088,980681.9018156468,2077830.4794528799,991330418.4391912,1728370046.6242304,7022954.472380638,10303321.135331536,386106561.8001794,21261454.65281388,8264013.69604221
2033,2593703726.866066,69991545.5786857,12613056.652970804,4161896.1459350144,0.0,33777452.75315657,743852.0648219935,990968.0445103472,2082424.1494687605,1002251918.4268504,1751801186.7372458,7101923.700805426,10426843.34210569,390787855.782039,21589442.050124668,8334880.681059988
2034,2624883228.3897843,70382791.89649631,12683566.377416056,4185161.668417616,0.0,34038089.50453293,756546.6657813434,1001362.0761457359,2087027.9751756003,1013293740.7205322,1775549977.7653923,7180854.095086575,10551846.404942269,395525907.44561696,21922489.10748928,8406355.376779882
2035,2656450117.4654913,70776225.24532524,12754470.266525604,4208557.248094679,0.0,34300737.405674286,769457.9131696576,1011865.1283436263,2091641.9790256126,1024457210.9126352,1799620726.0336466,7259745.693399191,10678348.07720506,400321404.9413393,22260673.877174653,8478442.994546741
2036,2688409309.4629874,71171857.8504752,12825770.523765476,4232083.612002275,0.0,34565411.97520332,782589.5042811783,1022478.3445951587,2096266.183520646,1035743669.1996228,1824017796.2469037,7338598.533863068,10806366.32509562,405175044.7630078,22604075.615512084,8551148.790394634
2037,2720765782.9069266,71569702.00558726,12897469.36491958,4255741.491240673,0.0,34832128.85148882,795945.1995082964,1033202.8803852809,2100900.6112123015,1047154470.542921,1848745612.2814145,7417412.654541016,10935919.330204662,410087531.8489704,22952774.80147136,8624478.065430071
2038,2753524580.2961164,71969770.07302277,12969569.018158462,4279531.620997107,0.0,35100903.79356987,809528.8234183682,1044039.9033185501,2105545.2847020337,1058690984.831582,1873808657.9869883,7496188.093440771,11067025.49209443,415059579.6844944,23306853.155522216,8698436.166218517
