year,total_us,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,total_forestry,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass
2021,3345790891.694357,71622064.62877283,12906787.180090496,4258834.118911366,19172182.337863024,100006113.14754656,4286869.281708172,1951363.8913206854,16121626.504022678,1003846008.9261936,1635242316.2803252,78864421.96594192,63452076.510360196,6282111.700379206,9705234.554344622,384229447.2019998,20442058.45090714,8339692.828146898
2022,3255930642.5769515,69316630.72197641,12491361.023639742,4121750.0661428296,18555069.24282624,102931468.96589538,4116960.802836425,1963053.8941963036,16519025.496296758,956860146.4502021,1617752997.8296647,78576767.2880265,63382004.618857674,5610460.073403403,9099549.787274385,371140763.71466994,19851519.47718231,8090086.252051072
2023,2926105331.180195,64914945.94958163,11698183.8122032,3860016.984936478,17376825.19899019,92450413.6497211,3361873.663848011,1774368.0286894066,15878611.367161687,872332436.725472,1530925634.8696454,77900101.91409233,63114445.61411642,5648613.734142843,8431113.842806445,341487135.44975996,18227182.459658373,7481382.58983201
2024,3066052924.5992217,66389732.05705478,11963951.861421207,3947714.1626098226,17771604.44763031,93296658.44147322,3970697.076331502,1960125.5573887033,16029786.762879008,941438711.7254682,1531094661.8777306,79231242.84053695,64094938.510291874,6257128.594922349,9352182.973994156,353860806.95779026,18980883.925719667,7706316.455600997
2025,3176009252.448411,68616778.89257072,12365277.814052813,4080143.292334924,18367750.002272096,100710521.7953871,4271902.925321644,1971810.86918591,15962448.988228753,969199543.6299267,1564470687.8982255,79959768.6886998,64881340.666511126,6592278.1201060945,10128708.8840758,363450905.4684888,19570933.53514128,7962699.531592198
2026,3365895704.8563023,70888412.8968958,12774636.721819235,4215221.34786551,18975829.596646562,98778501.0550817,4452225.712982404,1987331.6915407893,15522927.571986642,1034180983.899131,1656627315.0506742,80884932.52099858,65290234.227333345,6787104.941305699,10408715.612590283,387295904.7366499,21083485.515544403,8332316.645746936
2027,3385913173.7166266,70838902.02334431,12765722.912189556,4212280.934056477,18962581.207532085,86068523.67915998,4498322.439697719,2027245.0803842738,16203625.936848441,1020507906.5535831,1693844233.6952934,79537441.23631594,63931753.05141358,6757605.975054869,10104902.312658276,389666209.419149,21261259.72646305,8355938.554805949
2028,3086144636.1159244,66871949.15451659,12050876.255263405,3976401.0488330303,17900701.605025355,92965900.06242384,4157837.9595339196,1909395.2459739374,15876991.624583572,889104727.766032,1620850309.719926,79627440.21042825,63893556.01643402,5968682.37177606,9199298.779473081,354634435.3555759,19256022.905861624,7807240.804432243
2029,2896275652.568357,64314877.39061005,11590091.288633948,3824355.943315503,17216221.18628283,95301489.783057,4082219.552045369,1927569.1403628935,15907884.377749749,831798766.901433,1550791470.867117,78692178.46034005,63228418.652978174,6051155.477504232,8994679.735709053,333549320.36086226,18048215.04203397,7454447.928868151
2030,2666424137.881114,61989165.22139634,11171006.369313573,3686062.875686287,16593676.970185392,86422617.40845528,3920436.5000292487,1687875.0994189666,15051635.74554811,769907151.0142004,1495822731.458591,76878128.04100314,62211394.83408818,6199967.899044669,8635022.004006667,313916407.4554072,17048737.349302992,7071680.253106822
2031,2816262550.923114,64770056.94833523,11672132.652730498,3851418.351258386,17338074.608023554,85917836.96734703,4437475.72558438,1885003.4933068694,15449431.246290192,825086695.0668201,1560714036.3558648,76621237.41842145,62269045.30057222,7200770.841545761,9947341.821655933,331786614.2899453,18221178.753810555,7446769.879250506
2032,3075961213.0825186,67940371.7543681,12243423.872593628,4039927.403051329,18186707.5924192,92576315.20563167,4456047.118149237,1928509.7112531804,15672092.483184066,919530382.3327658,1647537400.0669692,69741365.0645828,57007391.42321353,7203157.4663958065,10424025.506388593,359123962.24036765,19831165.483222738,7967247.39620604
2033,3135659875.2419233,68539584.50469038,12351398.118814928,4075548.6194086797,18347102.373706184,86225589.31454423,4487472.248489706,1919039.7366053497,14407564.016013872,961624603.942575,1686582970.1029253,66184114.280605346,53990367.409501545,7461923.383852206,10707500.04655775,369672047.86809325,20412713.240180526,8123964.444687569
2034,3225624937.521274,70014339.8846082,12617156.200577512,4163243.0487241,18741870.66777254,85742062.07427609,4506490.991806977,1886650.7057889262,14893810.121490844,1023366252.234051,1704826587.502454,66754131.6205271,54332609.41233082,7910847.976409075,10938337.7839121,382818479.8887227,21118350.296856474,8315025.708771563
2035,3425550694.8648963,71115760.75217116,12815646.547833422,4228737.23759318,19036708.913011916,91644417.75031549,4744931.279880235,1997237.702940912,15618414.222304823,1040735975.2256461,1843638583.2306406,69898034.96858859,56743761.949719585,8407576.597446717,11108307.1500532,404723226.3174167,22591160.950738665,8588226.307165325
2036,3495533226.004572,71185610.1834515,12828244.706142832,4232893.766357137,19055413.162951905,88166757.02483714,4670880.8229850605,2085532.5984224058,15930391.87978483,1066091100.6434668,1878476562.6273804,71445764.90756594,57677403.71845147,8367340.105008888,11193720.154331213,414427955.1237602,23253614.792128664,8657354.978730941
2037,3445589999.800626,70979895.62054734,12791188.817136757,4220663.048173622,19000355.77132107,99955094.24479666,4595885.614370831,2229880.199315886,16372028.7962982,1054143753.8056262,1869918170.1901946,74993578.8601057,60699629.378676355,7703729.066311005,11137244.77271313,410822981.818763,23194908.369282972,8599082.532404277
2038,3485629304.736356,70397417.09958191,12686234.101597827,4186031.785302698,18844442.09203876,101166739.45222291,4937599.218464112,2259800.982906938,16555886.39867734,1070604311.3401213,1880062901.355593,76164226.64325003,61406908.81391596,7586986.169689378,10754819.521047456,415403768.36863625,23514389.597758856,8585932.813566342
2039,3225799626.1245184,65779217.21680315,11854023.528912313,3911424.99306259,17608230.215762235,94036772.49561761,4793537.843610136,2108708.6238829438,16180194.56081239,959627017.8568097,1788289378.105897,75602011.35206813,60911466.68150404,7098983.078238737,10599303.72537381,382215400.07544523,21531554.141686708,8016083.666609207
2040,3425712281.822896,67545639.07589686,12172340.936959332,4016464.0307359365,18081072.851961248,99824048.19684425,5180986.642872543,2211239.933693365,16053878.453380175,1052897397.2120112,1828192262.2496047,78976130.64670134,63472302.5861126,7530253.084836013,10935126.818525258,404811936.8369765,22903625.83811648,8320742.16264433
2041,3525686078.532409,68754950.70468481,12390266.430279942,4088375.1352476897,18404787.212197006,90068598.21370783,5721695.643234213,2270128.22624907,16408045.245567573,1080449786.7369561,1884969046.0901518,79218784.91444123,63399488.92981588,7455916.744118476,11308123.714580603,417593513.2312711,23701426.58295324,8496690.552390834
2042,3715646773.5966797,70784197.33592178,12755942.538389197,4209041.769531744,18947981.597005498,101565540.05317439,5705321.091293328,2303400.5352229946,16579006.842354117,1098230979.5951412,1964514637.3706946,81275351.61653166,65422512.043185845,7668026.4034023415,11637271.228978049,431870298.7002635,24636682.69560762,8814573.269866783
2043,3785664242.457004,72096189.74648014,12992392.169647949,4287055.377722295,19299194.960496888,105297588.35814673,5491540.05007763,2325768.928891993,16575494.049570428,1105635800.2125707,1990572445.985804,82531211.80884592,66637685.61706415,8050758.148332559,11431393.108140582,435949784.136978,25018658.173485436,8910497.237530539
2044,3885572530.940301,74450568.27226138,13416668.726194087,4427053.901038408,19929428.40389742,108827545.30941679,5856203.850074342,2466741.1049707923,16706601.143916259,1106679846.761719,2054725317.3620596,85536722.79861139,69503024.39276598,8234411.636908956,12040769.283001227,446154255.0317563,25628420.280726664,9154852.417461628
2045,4025583794.3774176,77319187.89254357,13933609.805147374,4597631.23976335,20697313.375010505,116179667.74636966,6081042.618907245,2484870.3125032145,16923109.287701096,1143312731.601443,2135499836.9455993,84762133.96831149,69471458.33139089,7894927.657814629,12172002.03940921,464479602.5173247,26780099.673103176,9504594.653246002
2046,4255444104.527039,79119841.57084635,14258087.92936547,4704703.698542183,21179314.23507219,119955611.33258486,6191145.573408284,2519000.0198172918,17315422.398753416,1224126978.2535155,2204829952.894784,84558091.50907768,69545908.09581842,7739548.777186705,12525484.825430432,489057744.07401276,28194633.950588256,9842939.308741976
2047,4325269492.214066,79266266.13740698,14284462.751836583,4713411.052936536,21218502.14928579,112541729.75104353,6172360.031839799,2413036.9960345025,16669954.661314141,1236092084.890184,2196417657.100332,83881426.13514352,69323113.18216592,7866922.059701874,12782776.69120662,489563264.9451999,28147157.561813526,9892912.365797335
2048,4345321875.907957,80369843.4134676,14483338.836737476,4779033.806414388,21513915.934236336,114680989.32899648,6292951.838037488,2534103.7776415367,16816108.51685411,1256694270.21977,2211287906.292646,85212567.06158814,70317471.29347545,8246136.07395434,12915569.365248237,495510596.0994992,28557423.614773903,9996425.436705844
2049,4355365528.986201,82067600.71605903,14789289.187808279,4879988.26458035,21968382.404079054,112905345.31191915,5776814.192711788,2376241.8540299833,16743781.06666217,1268753142.585721,2256626022.80637,85941092.90975098,71108168.05695775,8121239.428306869,12571373.164422153,503841711.8358959,29106395.310420576,10119844.336127143
2050,4285479026.9896345,81798167.76914743,14740749.924986921,4863967.828036254,21896268.047904845,115455366.9391703,5929179.651694902,2410239.1639588983,16299301.637314118,1280726428.2804115,2224249054.3520217,86866256.74204977,71518391.8280483,8468077.105908083,12685045.83415156,500656381.2093652,29034640.061270967,10053806.680084445
