year,cement_ready_mix,cement_concrete_products,cement_masonry,cement_other,steel,aluminum,copper,lime,sand_and_gravel_construction,stone_crushed,lumber,plywood_veneer,wood_panel_products,asphalt_concrete,asphalt_binder,flat_glass,total_us
2020,65098922.808019154,11731318.642019525,3870956.015569267,17426061.312637046,87329545.68779078,3730260.038650853,1802640.1876456272,15565311.367924405,869194295.9290897,1470481994.2227838,60236366.55350218,6072280.694845676,8930378.947628101,334118608.0142326,17693414.169673905,7459173.747707343,2980741528.33972
2021,65462819.813457355,11796899.25959595,3892595.1461605905,17523473.410686966,88003406.12521271,3793920.76489568,1821547.6582158448,15599723.176214693,878770220.6820185,1490417001.6059518,60453782.92247582,6151718.931328058,9037441.524873974,338169581.45957327,17966359.598752707,7523138.931414256,3016383631.010828
2022,65828750.9697671,11862846.487059373,3914355.242211309,17621430.04468656,88682466.26779221,3858667.926944989,1840653.444814859,15634211.062170379,888451643.521279,1510622263.586543,60671984.03130352,6231117.871129751,9145787.63056962,342269670.3551201,18243515.589260854,7587652.640315117,3052467016.6709676
2023,66196727.64766513,11929162.373838665,3936236.9799335487,17719934.25860483,89366766.2379823,3924520.065943825,1859959.627533031,15668775.193984035,898239726.7206502,1531101443.947867,60890972.712415226,6310477.553110361,9255432.652400667,346419470.194148,18524947.09494229,7652719.578217076,3088997272.8392363
2024,66566761.281429425,11995848.98081937,3958241.039319542,17818989.1134265,90056346.4678326,3991496.0394608728,1879468.3082783015,15703415.740220094,908135645.3586932,1551858256.1423695,61110751.80846425,6389798.016071796,9366392.16252924,350619583.6899091,18810720.071542744,7718344.489264174,3125980058.7096305
2025,66938863.36925457,12062908.38040791,3980368.1041627587,17918597.687247414,90751247.70137815,4059615.0268887407,1899181.611005032,15738132.86981565,918140587.4598248,1572896463.9649546,61331324.17236414,6469079.298758268,9478681.919805696,354870620.8631613,19100901.492266424,7784532.158283249,3163421106.0795784
2026,67313045.47360907,12130342.656595897,4002618.8620791724,18018763.07536991,91451510.99704745,4128896.534935998,1919101.6819452427,15772926.752081262,928255754.1369419,1594219882.235488,61552692.66732568,6548321.439857483,9592317.872006558,359173199.13077766,19395559.36347229,7851287.411132774,3201326220.290666
2027,67689319.22159424,12198153.905024853,4024994.0045285914,18119488.390399266,92157177.7300874,4199360.403213352,1939230.6898422793,15807797.556701856,938482359.7356211,1615832377.490525,61774860.16689414,6627524.477998495,9707316.158099607,363527943.39540976,19694762.74061134,7918615.11505484,3239701281.181606
2028,68067696.30530621,12266344.233051445,4047494.226836194,18220776.76234017,92868289.59500861,4271026.809914889,1959570.826186928,15842745.453737447,948821631.9798898,1637737868.6844192,61997829.554986484,6706688.451754093,9823693.110535951,367935486.13625264,19998581.74441079,7986520.179029855,3278552244.0536613
2029,68448188.48219867,12334915.759812912,4070120.2282141056,18322631.338694245,93584888.60804878,4343916.277596248,1980124.3054560085,15877770.613624036,959274812.1196369,1659940327.8999596,62221603.72592887,6785813.399640083,9941465.257569628,372396467.5009092,20307087.577307235,8055007.554134588,3317885140.648731
2030,68830807.57544845,12403870.616292944,4092872.7117831376,18425055.284557592,94307017.10965513,4418049.679051723,2000893.365353469,15912873.207174422,969843155.079614,1682443781.0685883,62446185.58449422,6864899.360114574,10060649.32560496,376911535.3983566,20620352.54013329,8124082.233903128,3357706080.1401258
2031,69215565.47432283,12473210.945387827,4115752.3845946393,18528051.782719396,95034717.76698665,4493448.243291196,2021880.2670540102,15948053.405579021,980527929.6100949,1705252308.7004375,62671578.04593984,6943946.3715798855,10181262.241572239,381481345.59305197,20938450.049062394,8193749.254690974,3398021250.1363654
2032,69602474.13454911,12542938.90197317,4138759.957652446,18631624.033760592,95768033.5764342,4570133.561619545,2043087.2954492643,15983311.380406767,991330418.4391911,1728370046.6242304,62897784.03604541,7022954.472380638,10303321.135331536,386106561.8001794,21261454.65281388,8264013.69604221,3438836917.69806
2033,69991545.5786857,12613056.652970804,4161896.1459350144,18735775.25615356,96507007.86616163,4648127.593819484,2064516.7593965568,16018647.303605849,1002251918.4268503,1751801186.7372458,63124806.49115082,7101923.700805426,10426843.34210569,390787855.782039,21589442.050124668,8334880.681059988,3480159430.3681107
2034,70382791.89649631,12683566.377416056,4185161.6684176154,18840508.686361887,97251684.29866554,4727452.674439919,2086170.9919702832,16054061.347504618,1013293740.7205322,1775549977.7653925,63352648.358194366,7180854.095086575,10551846.404942269,395525907.44561696,21922489.10748928,8406355.376779882,3521995217.2153063
2035,70776225.24532524,12754470.266525604,4208557.248094679,18945827.57894121,98002106.8733551,4808131.5191919515,2108052.350715888,16089553.684812404,1024457210.9126351,1799620726.0336466,63581312.594751015,7259745.693399191,10678348.07720506,400321404.9413393,22260673.877174653,8478442.994546741,3564350789.8916597
2036,71171857.8504752,12825770.523765476,4232083.612002275,19051735.20664006,98758319.92915234,4890187.2314535305,2130163.2179065812,16125124.488620354,1035743669.1996229,1824017796.2469034,63810802.16907072,7338598.533863068,10806366.32509562,405175044.7630078,22604075.615512084,8551148.790394634,3607232743.703486
2037,71569702.00558726,12897469.364919579,4255741.491240673,19158234.86050186,99520368.14711091,4973643.308885629,2152506.0008026687,16160773.93240232,1047154470.542921,1848745612.2814145,64041120.06011703,7417412.654541016,10935919.330204662,410087531.84897035,22952774.80147136,8624478.065430071,3650647758.696521
